LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G1P8A1;2;5PRRRR;14.06.2022 19:13:43;15.06.2022 07:14:32;21.774762;30070272.4224145;Selbstkoll. Traj.;104.145352750768;16.5066275960807;579.413702158834;128.674354222696;997.95150453137;31077.3240614826;988.719118943684;51.7836005443874;269.958866588187;8339.76748758657;5.80091874935228;0.0911231406239499;201.892322511617;3.28209146389762;995.855238495086;23039.1100908544;0;37.3369197162172;118.791249840478;6.8062372589435;295.167235300867;1;994.045215606863;17817.63938883;982.845325602259;3.71015889902319;979.35371791304;3.08237851312864;-242.075091857827;-39.9703404395038;99.8776012177927;0.00520118727048668;192.263794398318;0;23001;42155.591997
2;P5PRRRR4V1G1P8A1;2;5PRUR;14.06.2022 19:13:43;15.06.2022 07:14:36;27.203089;723.436935672804;i.O.;126.373050358973;20.1155451160037;636.569404886094;155.713674108361;969.80798382701;2106.98883628936;757.211702956873;3.21693818219339;209.88484280801;937.755180994167;25.3896960881781;0.399031999711388;231.011815415522;3.79685896277624;974.323193416286;3717.01904411117;444.963073628285;80.0933532530913;1635.51642661696;93.7081885694699;295.167235300867;1;990.494371294599;11161.3248772649;969.931597177008;2.11566379301534;965.837149962359;1.86169643931048;27.6077672931857;4.33933851020517;99.8628028673765;0.00464017559711983;215.509085608894;483;26518;41875.415966
3;P5PRRRR6G10P8A1;2;5PRRRR;14.06.2022 19:13:43;15.06.2022 07:14:35;12.627085;1038396990.18319;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;15001;41096.261663
4;P5PRRRR6G9P8A1;2;5PRRRR;14.06.2022 19:13:44;15.06.2022 07:14:35;10.344366;3183040036.85547;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;25001;41572.288469
5;P5PRRRR6V1G10P8A1;2;5PRUR;14.06.2022 19:13:43;15.06.2022 07:14:36;30.641994;697.820308849423;i.O.;135.05516606938;21.5385039980612;671.459198109011;176.256157811121;928.992353009108;892.829965506496;670.8047073558;2.54460998728878;137.381975190404;80.1781774047906;177.73707189452;2.86676188988648;281.094737321944;4.72666368007875;683.844623317759;276.795534943097;340.222928223957;61.2401270803122;2145.14786547688;122.907919123322;295.167235300867;1;990.577811739422;11260.1812909522;965.501143805658;1.84352917276277;954.619130265234;1.40046036816074;304.498461142296;51.845841770513;98.8117547431429;0.00053570240542788;1866.70806378267;90;26911;42872.567287
6;P5PRRRR6V1G9P8A1;2;5PRUR;14.06.2022 19:13:43;15.06.2022 07:14:35;10.938484;3034101918.34327;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;24001;41394.490623
7;P5RPRRR8G9P8A1;2;5RPRRR;14.06.2022 19:12:16;15.06.2022 07:14:36;35.566065;708.207278840558;i.O.;150.450959242446;24.0828080373843;654.973665944231;166.083898060985;980.045571014702;3189.32339792476;873.125803901078;5.44189728452216;159.558905149856;167.395436354313;2.21418286514792;0.034780443357182;211.608650906868;3.4520204227327;847.093407319158;612.462605856011;0;28.0464285926774;158.363062171172;9.07353509317605;293.620787797052;0.993934469976528;990.722487344754;11435.800522271;974.340448082837;2.47968083404163;966.099294337222;1.8761199690216;285.746148863434;48.1636278232831;98.8978116925819;0.000577538483247128;1731.48634940765;205;20796;41715.9643699999
8;P5RPRRR8V1G9P8A1;2;5RPUR;14.06.2022 19:12:16;15.06.2022 07:14:36;32.796158;746.373423126722;i.O.;177.996296776215;28.7116894099826;709.837707682891;203.993751021014;999.638867644208;176284.316226582;998.717240747518;447.659680470223;271.421190116639;8814.47806210493;0.850246636169866;0.0133556508706216;193.32413714357;3.13365140138341;998.245833103907;54437.6503699304;299.106077618928;53.839093971407;2223.71904247447;127.40971595666;294.7987933662;0.998553550308856;992.318284118283;13811.7768858755;975.380798020176;2.58457762096682;964.795829429142;1.80652097793673;232.757038634655;38.2825765148883;99.4204708013758;0.00109848164424251;910.34748303835;98;17903;40968.5705369999
9;P5RRPRR4G1P8A1;2;5RRPRR;14.06.2022 19:12:17;15.06.2022 07:14:35;28.31181;773.25908294241;i.O.;153.259794070871;24.5501077596178;683.593763125731;184.356897882176;999.592474239518;156215.81434664;998.704237766282;443.17743303425;349.898750261127;209324.476269789;7.19462093338376;0.113017652890784;345.487777817173;6.03093368771153;999.905160816389;1006893.58040724;0;45.7080989295068;204.473536702202;11.7154706751495;295.167235300867;1;993.544391577888;16435.2686242365;976.334107784713;2.68879146942689;968.424292253533;2.01451587594316;158.417349122259;25.4108134993913;99.9244384240119;0.00842517463526988;118.691901745722;90;34911;43101.890023
