LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G1P8A1;2;5PRRRR;14.06.2022 20:01:33;15.06.2022 06:04:49;12.747276;1034444866.61867;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;19001;34498.848389
2;P5PRRRR4V1G1P8A1;2;5PRUR;14.06.2022 20:01:33;15.06.2022 06:04:49;26.888716;612.91603812565;i.O.;129.824018977244;20.6801775507764;642.927120798429;159.187928492002;996.97688947165;21058.2769342294;981.141395618869;31.3707984746156;235.535176574401;2337.30121888827;41.3570309762603;0.650550143038743;283.469307067222;4.77237738716965;989.467013649508;9065.25927339357;489.081899475006;88.0347419055011;1720.9259764805;98.6017953067625;295.167235300867;1;990.296904114672;10934.1472430705;970.097563934101;2.12742374323452;965.974129080782;1.8692055134664;76.776368364316;12.1188142913944;99.8755159929249;0.00511406224737379;195.539270276487;469;22532;35814.489123
3;P5PRRRR6G10P8A1;2;5PRRRR;14.06.2022 20:01:33;15.06.2022 06:04:49;15.811365;1042232003.49297;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;11001;33777.688248
4;P5PRRRR6G9P8A1;2;5PRRRR;14.06.2022 20:01:33;15.06.2022 06:04:48;10.608721;3183736707.89751;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;22001;35675.250973
5;P5PRRRR6V1G10P8A1;2;5PRUR;14.06.2022 20:01:33;15.06.2022 06:04:49;32.405753;559.742321763503;i.O.;134.889170943322;21.5112214636657;671.509563568224;176.288651431941;882.332823171083;534.859171428374;382.65666459446;1.53767180815577;128.817155565753;60.52532877749;522.696681452387;10.739723225123;447.263566925897;8.46673983049456;475.366238128076;138.818688767954;366.733792162118;66.0120825891813;2011.82739099432;115.26921861279;295.167235300867;1;990.66749206525;11368.401237209;967.167286497623;1.9372606516269;956.377585937146;1.45710206561417;244.67325368249;40.4444368804621;98.4573918216745;0.000412609746774728;2423.5976193407;85;25916;35989.797514
6;P5PRRRR6V1G9P8A1;2;5PRUR;14.06.2022 20:01:33;15.06.2022 06:04:48;14.279292;3027106210.55636;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;22001;36043.568754
7;P5RPRRR8G9P8A1;2;5RPRRR;14.06.2022 20:06:36;15.06.2022 06:05:49;34.939864;570.024104117694;i.O.;127.693591369448;20.3314589650397;625.361096268795;149.844498321767;966.813932117036;1916.59651538125;804.097054527699;3.80983231416411;149.405998345096;119.324049596765;5.21006530358624;0.0818413415846878;274.064856076073;4.5922641278775;735.615246065856;340.181909051423;0;30.3519208558354;142.412824084996;8.15965376860932;293.792091141028;0.994605639224617;990.642214016548;11337.6875372774;974.427803991979;2.4881607141173;970.244946273105;2.13797674700874;361.449603544029;63.7818012893114;99.1712884609393;0.000768160913827707;1301.81057379898;474;26527;34723.8150150001
8;P5RPRRR8V1G9P8A1;2;5RPUR;14.06.2022 20:06:36;15.06.2022 06:05:49;37.876365;622.23190959826;i.O.;172.915688343173;27.8497969446226;698.002687758178;194.748159039944;999.036055708855;66043.1615907208;995.92401808694;141.566896983784;252.201144703934;4295.84347857021;0.960106151403183;0.0150813235935294;234.635881210486;3.86213407814793;996.090837040439;24427.6758552722;333.283158151766;59.9909684673178;2223.27406412037;127.384220574995;295.026509554781;0.999447432351358;992.262677370999;13712.504456946;975.159919867458;2.56157250799196;961.842279247827;1.66639204664805;255.277800500161;42.3960003465977;99.4150139452414;0.00108823423923266;918.919809677305;187;26814;34714.1618850001
9;P5RRPRR4G1P8A1;2;5RRPRR;14.06.2022 20:06:36;15.06.2022 06:05:49;34.099142;626.688343496557;i.O.;155.182621146727;24.8705873453861;693.527753722103;191.424721111401;996.724628306673;19436.3942405598;983.634940123904;36.0015204609268;260.240076480254;5789.08142622384;304.523735448868;5.18508791067219;774.619887090101;27.0564256518059;995.963890951095;23659.3425170616;0;63.1262999706291;199.267219748604;11.4171706869009;319.820568489488;1.09877535000873;993.136612730116;15458.720367843;979.075771393074;3.04140489020984;966.118570526261;1.87718937140641;290.888272437234;49.1626291399452;99.8889767140775;0.00573410453204255;174.395146515369;239;57762;35206.9308749999
10;P5RRPRR4G9P8A1;2;5RRPRR;14.06.2022 20:06:36;15.06.2022 06:05:48;56.543615;640.589507168568;i.O.;196.101766089604;31.8163265506885;662.299375518653;170.493210925501;999.40418204259;106848.002577514;998.859528690614;503.386192193684;284.618862393914;14605.1964416423;2.99723197606348;0.0470807576445708;247.393073567846;4.09424126477993;998.962817625126;92069.5180321435;0;65.1465250460738;375.353800879094;21.506188614566;381.860698156019;1.36776098442489;996.560152500597;30845.0484581462;984.505082764437;4.10776027782493;985.456073630637;4.37645927036355;138.317732662231;22.0753584880069;99.9985755987045;0.446938495699415;2.23744432315032;64;35937;35645.060635
11;P5RRPRR5G9P8A1;2;5RRPRR;14.06.2022 20:06:36;15.06.2022 06:05:48;44.491785;642.68353733783;i.O.;265.486531234483;44.3009295413435;903.543203401353;654.946882960561;999.8900041084;578766.858261902;999.72897429437;2115.03472251905;289.921974877497;17941.2814541003;0.0746636237851681;0.0011728134652467;258.924777473772;4.30734870816869;998.450683089837;61635.4063542498;0;19.766509596375;205.98733887497;11.8022051506668;339.001042342269;1.17856467555757;995.445100777203;23293.925874528;984.726022392021;4.16720275070439;982.972658395051;3.73791736086116;15.1637850944691;2.38237236011572;99.999091954376;0.701087869936866;1.42635473081292;137;31864;35709.9526660001
12;P5RRPRR6G1P8A1;2;5RRPRR;14.06.2022 20:06:36;15.06.2022 06:05:40;41.676882;540.838915682098;i.O.;264.559112345962;44.1267727124004;941.587305005889;1086.80523542251;965.46317560842;1841.49850613562;831.002301772221;4.29143510018767;86.6732531963159;15.484972194129;192.876541130797;3.12593186856206;199.848804249614;3.24657145456657;299.140496721248;76.173900590517;0;35.5519632463145;225.75838657964;12.9350027406963;344.164668311094;1.20052528341295;995.004579343796;21239.6762996773;982.578592394971;3.65332620523278;986.317603169797;4.65212166682058;123.048497970367;19.5727600592663;99.8716658499636;0.0049606352622251;201.587084544379;156;41845;35288.5892039999
13;P5RRPRR6G9P8A1;2;5RRPRR;14.06.2022 20:06:36;15.06.2022 06:05:49;47.358005;599.048415009857;i.O.;101.594050450446;16.0952205244479;410.803817232775;75.2797533182496;921.078700959894;802.514861547049;438.15600975426;1.66983603842847;202.687591954624;729.142904839999;0.430011844506336;0.00675461128554693;167.384326140363;2.69157791148951;895.363873337172;904.38652314885;0;16.1490774579589;184.038864817634;10.5446502204291;308.156971281178;1.05154358072587;995.409239058213;23111.9541151108;972.881520615416;2.34612957449675;962.280111143269;1.68578075418454;8.27615867698383;1.30008920596045;99.9384173577861;0.0103376463059997;96.7338183566627;181;35820;35261.1987490001
14;P5RRPRR7G9P8A1;2;5RRPRR;14.06.2022 20:06:36;15.06.2022 06:05:49;51.604324;30101088.0721196;Selbstkoll. Traj.;244.310776957483;40.37820081528;794.22050975971;298.519490958821;991.19956031457;7233.49336015296;989.025036353838;53.1995094487759;196.261108909376;583.344772701172;0.284514501312746;0.00446914363336373;257.147457074675;4.27429057945945;971.479062393173;3345.93030872149;0;15.1937705270925;303.998176247309;17.417812478645;397.757349333529;1.44234793418922;996.925555526522;34511.1032083257;991.924804548008;7.88322254919661;985.63699443534;4.43160555456658;-239.971929624371;-39.5877004895721;99.9878349782526;0.0523319873843982;19.1087717088713;0;34001;34938.457284
15;P5RRRRR5G1P8A1;2;5RRRRR;14.06.2022 20:06:36;15.06.2022 06:06:50;10.435828;610.745512468061;i.O.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;50;30951;34962.679876
16;P5RRRRR5G9P8A1;2;5RRRRR;14.06.2022 20:06:36;15.06.2022 06:06:50;23.106386;628.259497980563;i.O.;132.672518451656;21.1471897610871;640.232517925366;157.702071076708;999.472203760739;120618.446884176;998.345684899364;347.340429781628;263.410525144217;6517.71215215367;16.1968976661718;0.254475182951325;335.384365964724;5.81653961994554;998.742389615321;75931.9760723608;0;50.3091175540978;1020.81383585304;58.4883244629398;388.921214567734;1.40056642694364;993.108470819764;15395.588994264;979.254454044496;3.06761949072373;978.51011290124;2.9612903277432;255.895380103435;42.5104932801477;99.9404201186185;0.0106851435709694;93.5878861484757;268;65733;35633.630379
17;P5RRRRR5V1G1P8A1;2;5RRUR;14.06.2022 20:06:36;15.06.2022 06:06:47;25.284164;596.030729795684;i.O.;83.7447322996647;13.2309978200312;440.522154330237;82.8654408678235;991.700975047922;7670.58435647102;982.642329581023;33.9988119318974;202.301434781165;719.403989424786;764.136121410041;25.7445505363662;547.688088102035;11.6227599952878;982.95398629713;5600.73137229458;614.58489425897;110.625280966615;2222.90826389954;127.363261766197;686.632522564715;3.72950392303397;989.760024822853;10360.7814368603;972.116722321389;2.28169959619741;982.212663188441;3.57813038236825;189.042774723769;30.5995018482375;99.9517949975077;0.0132065059181161;75.7202553196335;195;72806;35731.8138839999
18;P5RRRRR5V1G9P8A1;2;5RRUR;14.06.2022 20:06:36;15.06.2022 06:06:46;14.585991;560.713333377546;i.O.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;128;55873;35421.629756
