LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G1P8A1;2;5PRRRR;14.06.2022 20:07:50;15.06.2022 06:06:49;10.71263;1017357578.39504;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;29001;35327.720475
2;P5PRRRR4V1G1P8A1;2;5PRUR;14.06.2022 20:07:50;15.06.2022 06:06:49;24.021933;614.57018798303;i.O.;129.874452316755;20.6884385387064;641.361549609185;158.322217217766;997.076726835612;21777.4823677039;980.376169214701;30.1856235838521;238.894651344393;2639.69493878683;47.8727249841285;0.753403652980508;421.416681656362;7.7924992495328;989.502906040544;9096.26148386373;503.332673123583;90.599881162245;1730.25872431884;99.1365223691593;295.167235300867;1;990.245729106658;10876.7731988674;969.903302027406;2.11367180749698;965.811337499823;1.8602881541888;114.493157082461;18.1809845875662;99.8701474099812;0.00490262758254289;203.972254299055;508;37493;35135.7865170001
3;P5PRRRR6G10P8A1;2;5PRRRR;14.06.2022 20:07:50;15.06.2022 06:06:49;14.77647;1041046948.70062;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;19001;35517.073129
4;P5PRRRR6G9P8A1;2;5PRRRR;14.06.2022 20:07:50;15.06.2022 06:06:49;9.781022;3182298748.9854;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;32001;35605.8455789999
5;P5PRRRR6V1G10P8A1;2;5PRUR;14.06.2022 20:07:50;15.06.2022 06:06:36;28.198242;559.742321763503;i.O.;134.889170943322;21.5112214636657;671.509563568224;176.288651431941;882.332823171083;534.859171428375;382.656664594461;1.53767180815577;128.817155565753;60.5253287774902;522.696681452392;10.7397232251231;447.263566925901;8.46673983049465;475.366238128076;138.818688767954;366.733792162119;66.0120825891814;2011.82739099432;115.26921861279;295.167235300867;1;990.66749206525;11368.401237209;967.16728649762;1.93726065162676;956.377585937146;1.45710206561417;244.673253682491;40.4444368804622;98.4577684470184;0.000412710548840056;2423.00567022227;91;42910;35250.5462399999
6;P5PRRRR6V1G9P8A1;2;5PRUR;14.06.2022 20:07:50;15.06.2022 06:06:47;11.778378;3012264018.66718;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;33001;35746.012801
7;P5RPRRR8G9P8A1;2;5RPRRR;14.06.2022 20:07:52;15.06.2022 06:06:50;32.803124;570.024104117694;i.O.;127.693591369448;20.3314589650397;625.361096268795;149.844498321767;966.813932117036;1916.59651538125;804.097054527699;3.80983231416411;149.405998345096;119.324049596765;5.21006530358624;0.0818413415846877;274.064856076073;4.5922641278775;735.615246065858;340.181909051425;0;30.3519208558354;142.412824084996;8.15965376860932;293.792091141028;0.994605639224617;990.642214016548;11337.6875372774;974.427803991978;2.48816071411718;970.244946273105;2.13797674700875;361.449603544029;63.7818012893114;99.1712884609393;0.000768160913827707;1301.81057379898;474;26527;35281.6178699999
8;P5RPRRR8V1G9P8A1;2;5RPUR;14.06.2022 20:07:52;15.06.2022 06:06:49;35.834513;622.23190959826;i.O.;172.915688343173;27.8497969446226;698.002687758178;194.748159039944;999.036055708855;66043.1615907253;995.92401808694;141.566896983794;252.201144703937;4295.84347857059;0.960106151403184;0.0150813235935294;234.635881210486;3.86213407814794;996.090837040439;24427.6758552737;333.283158151766;59.9909684673179;2223.27406412037;127.384220574995;295.026509554781;0.999447432351358;992.262677370999;13712.504456946;975.159919867458;2.56157250799198;961.842279247826;1.66639204664804;255.277800500161;42.3960003465977;99.4150126575246;0.0010882318435971;918.92183258904;187;26814;35366.647135
9;P5RRPRR4G1P8A1;2;5RRPRR;14.06.2022 20:07:52;15.06.2022 06:06:50;32.32387;626.688343496557;i.O.;155.182621146727;24.8705873453861;693.527753722103;191.424721111401;996.724628306674;19436.394240565;983.634940123909;36.0015204609365;260.240076480264;5789.08142622603;304.523735448861;5.18508791067205;774.619887090097;27.0564256518053;995.963890951096;23659.3425170667;0;63.1262999706291;199.267219748604;11.4171706869009;319.820568489488;1.09877535000873;993.136612730116;15458.720367843;979.075771393073;3.04140489020973;966.118570526261;1.87718937140642;290.888272437235;49.1626291399454;99.8889767140775;0.00573410453204255;174.395146515369;239;57762;35478.7416509999
10;P5RRPRR4G9P8A1;2;5RRPRR;14.06.2022 20:07:52;15.06.2022 06:06:49;52.099688;638.326198339751;i.O.;196.3566766195;31.8604267140899;662.609423922593;170.683638848203;999.279716232615;88384.5408638513;998.609300982583;412.991856450474;280.091092425414;12268.389729019;2.65576216587419;0.0417168565463788;242.791083396883;4.01008349986661;998.765014122944;77323.0267981546;0;64.7802322488243;375.448510322276;21.5116150659404;378.316579271449;1.35148124720624;996.561304811188;30855.3848694248;984.434954486682;4.08924544522504;985.453749219166;4.37575969265268;128.683916892135;20.4935006698243;99.9987267060555;0.499978638114608;2.00008545119236;55;34946;35156.9894209999
11;P5RRPRR5G9P8A1;2;5RRPRR;14.06.2022 20:07:52;15.06.2022 06:06:49;43.320192;642.68353733783;i.O.;265.486531234483;44.3009295413435;903.543203401354;654.946882960565;999.8900041084;578766.858261477;999.72897429437;2115.03472251749;289.921974877472;17941.2814540827;0.0746636237851675;0.00117281346524669;258.924777473772;4.30734870816869;998.450683089835;61635.406354196;0;19.766509596375;205.98733887497;11.8022051506668;339.001042342269;1.17856467555757;995.445100777203;23293.925874528;984.726022392021;4.16720275070447;982.972658395051;3.73791736086116;15.1637850944691;2.38237236011572;99.999091954376;0.701087869936866;1.42635473081292;137;31864;35731.3795569999
12;P5RRPRR6G1P8A1;2;5RRPRR;14.06.2022 20:07:52;15.06.2022 06:06:50;39.980953;540.838915682098;i.O.;264.559112345962;44.1267727124004;941.587305005889;1086.80523542251;965.46317560842;1841.49850613562;831.002301772221;4.29143510018767;86.6732531963159;15.484972194129;192.876541130797;3.12593186856206;199.848804249614;3.24657145456657;299.140496721248;76.173900590517;0;35.5519632463145;225.75838657964;12.9350027406963;344.164668311094;1.20052528341295;995.004579343796;21239.6762996773;982.578592394971;3.65332620523275;986.317603169798;4.65212166682062;123.048497970367;19.5727600592663;99.8716643695685;0.00496057803945746;201.589409952992;156;41845;35646.9749589999
