LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G10P8A1;2;5PRRRR;11.06.2022 10:51:38;11.06.2022 16:52:14;8.589456;2764986481.17875;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;18801;21136.767356
2;P5PRRRR4G1P8A1;2;5PRRRR;11.06.2022 10:51:38;11.06.2022 16:52:14;13.123401;2357213835.88231;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;24001;21452.110437
3;P5PRRRR4V1G10P8A1;2;5PRUR;11.06.2022 10:51:38;11.06.2022 16:52:14;9.424176;2280361128.2098;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;18001;21198.593751
4;P5PRRRR4V1G1P8A1;2;5PRUR;11.06.2022 10:51:38;11.06.2022 16:52:13;12.106024;2382230278.43232;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;13201;21175.294228
5;P5PRRRR6G10P8A1;2;5PRRRR;11.06.2022 10:51:38;11.06.2022 16:52:14;9.928632;2303366169.7425;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;16001;21356.48055
6;P5PRRRR6G9P8A1;2;5PRRRR;11.06.2022 10:51:38;11.06.2022 16:52:14;8.336494;3539657043.00812;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;34401;21494.427312
7;P5PRRRR6V1G10P8A1;2;5PRUR;11.06.2022 10:51:38;11.06.2022 16:52:10;21.78253;764.530623962359;i.O.;83.6315131383274;13.2129024884664;527.393884957034;108.998818617579;999.459904161374;117871.602427344;997.857310507844;268.399978495045;321.905910379712;64420.9440038768;0.933602508501961;0.0146650044233682;231.676954578539;3.80881788815121;999.471130848014;180560.623603538;214.681374032714;38.6426473258885;864.423795379905;49.5278351859488;308.565149304319;1.0531809438843;993.763407079966;17012.478206654;977.922566897653;2.88242088686691;963.392667295841;1.7371326934293;109.120769590179;17.310512098513;99.3107637511656;0.00092362364844804;1082.69207017414;212;21789;21510.254911
8;P5PRRRR6V1G9P8A1;2;5PRUR;11.06.2022 10:51:38;11.06.2022 16:52:13;10.55287;3382879107.86585;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;22001;21350.414966
9;P5RPRRR8G9P8A1;2;5RPRRR;11.06.2022 10:55:32;11.06.2022 16:53:14;23.667843;717.116974820401;i.O.;179.409017460653;28.9520459596998;796.284532950497;301.764338345871;982.479747872661;3632.70480439655;963.179576305702;16.5394419951098;167.072918410767;215.436303579151;0.308774257955871;0.00485021508238999;181.391675440264;2.92898920146387;875.01356110373;754.184885521037;0;14.5755017787187;344.611438820384;19.7447810163388;306.101391957037;1.04331456303928;995.786747239077;25182.8580672;988.491259647868;5.53101729767082;986.820409531621;4.82965552949713;135.205720968186;21.5632514663273;99.9758697471502;0.0263826386670588;37.9037143562366;41;22760;21238.397721
10;P5RPRRR8V1G9P8A1;2;5RPUR;11.06.2022 10:55:33;11.06.2022 16:53:14;20.886246;707.750731318274;i.O.;82.3517030331999;13.008414793814;461.867515074134;88.6845667308916;860.453224315589;448.87512517023;82.7576040668559;0.827576040668559;163.675562351626;192.172769565374;0.550314002922049;0.00864431429686724;162.245693130052;2.60519859208328;834.195195123619;562.854508481874;254.718971698825;45.8494149057885;2153.33420474558;123.376961813081;307.75932391351;1.04994952142303;993.625486335596;16644.3677014751;965.951147182395;1.86794145212031;966.646979946182;1.90698533720188;12.6935410094984;1.9941610340131;99.5061818491412;0.00128915270311504;775.703295337824;756;20045;21184.479833
11;P5RRPRR4G1P8A1;2;5RRPRR;11.06.2022 10:55:33;11.06.2022 16:53:14;11.596441;2425787156.44578;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;15601;21003.658129
12;P5RRPRR4G9P8A1;2;5RRPRR;11.06.2022 10:55:33;11.06.2022 16:53:14;54.539391;728.894119233788;i.O.;182.205277031562;29.4287082458487;604.184229411374;139.557969876952;992.898847873715;8964.64908294318;987.166319931311;45.6373891462255;200.795867204998;682.6946614055;0.0595621876672549;0.000935600658765846;209.298414763749;3.41145758238947;977.481817766284;4238.93618378892;0;12.7778420020834;401.749981936338;23.0185783844092;283.828498538652;0.955861291313788;997.264222733976;38783.3628006375;988.622268115084;5.5947177877299;984.268024797703;4.04583767012773;15.0019914330728;2.35694360013264;99.9997162301603;2.24343705081566;0.445744621912357;101;25500;21188.163518
13;P5RRPRR5G9P8A1;2;5RRPRR;11.06.2022 10:55:33;11.06.2022 16:53:14;11.687197;2311578634.79406;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;22401;21308.421009
14;P5RRPRR6G1P8A1;2;5RRPRR;11.06.2022 10:55:32;11.06.2022 16:53:14;19.019491;30010876.9359953;Selbstkoll. Traj.;221.170597993813;36.2100636474629;741.550412346284;232.63916166017;999.999560702166;144917575.919211;999.999246809035;760708.206689407;419.908326857554;5438304.55053477;0.341557451483081;0.00536517241658005;365.564520094964;6.46948987615785;999.996680313005;28765653.5074501;0;20.5844104108716;416.570949742326;23.8677572879916;563.114679606605;2.44181093959406;997.412600380565;41007.4695766789;991.928630105403;7.88695933180381;989.447606933238;6.03238964828273;-229.256089313842;-37.6533719961152;99.9999944104161;113.893946057583;0.0087800979298269;0;21201;21018.523665
15;P5RRPRR6G9P8A1;2;5RRPRR;11.06.2022 10:55:33;11.06.2022 16:53:14;36.433742;754.295417065746;i.O.;154.706771656397;24.7912324183379;681.387484228949;182.842133678605;999.317902111599;93332.5758054284;997.731946905089;253.619660323537;283.21307927248;13833.8489032644;16.9937212363996;0.267000169172928;408.903684604426;7.48131827400653;995.599315960156;21699.2276614405;0;23.7705700847956;256.201217854972;14.6792484892016;427.429878293656;1.5890881152393;995.236686418235;22274.6862165388;984.436486586321;4.08964815820206;979.623338477032;3.12319245340886;204.708393767113;33.3116279239483;99.7925467450209;0.00306872755033763;325.867964358706;63;37938;21266.792859
16;P5RRPRR7G9P8A1;2;5RRPRR;11.06.2022 10:55:33;11.06.2022 16:53:14;8.161837;2094992515.23922;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;30801;21148.0753
17;P5RRRRR5G1P8A1;2;5RRRRR;11.06.2022 10:51:01;11.06.2022 16:53:43;7.097683;2330456782.08911;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;22401;21292.238985
18;P5RRRRR5G9P8A1;2;5RRRRR;11.06.2022 10:51:01;11.06.2022 16:53:29;47.929896;739.845172297179;i.O.;148.937454046435;23.8314221213836;621.080131230783;147.683901685785;997.378388490768;24283.3910176004;990.702565299661;62.6199546031926;231.421251166323;2015.12930838576;0.00336165664814601;5.28047791490248e-05;88.7634865720054;1.4033996803721;997.446107326902;37390.9423034472;0;17.464554590177;889.43637742856;50.9609505720614;147.90640113332;0.473206648769028;996.759386861095;32741.4518209593;991.354878864107;7.36346696700025;985.371321252721;4.35109506608088;139.857576798268;22.3291598938834;99.996118199937;0.164001175032225;6.09751728793105;54;26747;21619.0269319999
19;P5RRRRR5V1G1P8A1;2;5RRUR;11.06.2022 10:51:01;11.06.2022 16:53:44;11.265834;2633212004.67104;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;16001;21454.411128
